Title,Question,Answer,Context
John Pugh (Pennsylvania politician),What is the significance of John Pugh (Pennsylvania politician)?,john pugh june july member u house representatives pennsylvania pugh born hilltown township pennsylvania briefly served american revolutionary war captain pennsylvania militia engaged agricultural mercantile pursuits served justice peace member pennsylvania house representatives pugh elected democratic republican ninth tenth congresses unsuccessful candidate reelection eleventh congress register wills recorder deeds bucks county pennsylvania died doylestown pennsylvania buried presbyterian churchyard,"John Pugh (June 2, 1761 – July 13, 1842) was a member of the U.S. House of Representatives from Pennsylvania.
Pugh was born in Hilltown Township, Pennsylvania. He briefly served in the American Revolutionary War as a captain in the Pennsylvania militia. He engaged in agricultural and mercantile pursuits, and served as justice of the peace. He was a member of the Pennsylvania House of Representatives from 1800 to 1804.
Pugh was elected as a Democratic-Republican to the Ninth and Tenth Congresses.  He was an unsuccessful candidate for reelection in 1808 to the Eleventh Congress.  He was register of wills and recorder of deeds of Bucks County, Pennsylvania, from 1810 to 1821.  He died in Doylestown, Pennsylvania and was buried in the Presbyterian Churchyard."
Melchior Rahm,What is the significance of Melchior Rahm?,melchior rahm february october american politician melchior rahm born february parents conrad maria weiser rahm melchior rahm served th battalion lancaster county revolutionary war militia sheriff dauphin county war rahm returned military service quartermaster ran franklin house harrisburg well pennsylvania inn rahm democratic republican member pennsylvania senate dauphin berks counties sister rebecca married c henry orth melchior rahm married sarah knapp died harrisburg october,"Melchior Rahm (13 February 1762 – 31 October 1820) was an American politician.
Melchior Rahm was born on 13 February 1762 to parents Conrad and Maria (Weiser) Rahm. Melchior Rahm served with the 6th Battalion of the Lancaster County Revolutionary War Militia. In 1804, he was sheriff of Dauphin County. During the War of 1812, Rahm returned to military service as a quartermaster. He ran the Franklin House in Harrisburg, as well as the Pennsylvania Inn.
Rahm was a Democratic-Republican member of the Pennsylvania Senate for Dauphin and Berks counties between 1805 and 1814. His sister Rebecca married C. Henry Orth in 1797. Melchior Rahm was married to Sarah Knapp and died in Harrisburg on 31 October 1820."
John Rea (politician),What is the significance of John Rea (politician)?,john rea january february early th century american politician,"John Rea (January 27, 1755 – February 26, 1829) was an early 19th-century American politician."
Spencer Records,What is the significance of Spencer Records?,spencer records december february born sussex county delaware early pioneer american midwest moved large family boy east coast appalachians area fort pitt western pennsylvania pittsburgh staying years family moved ohio river kentucky indiana illinois narrative travels wrote age first hand account early settlement midwest served pennsylvania militia american revolutionary war died mount auburn indiana age,"Spencer Records (December 11, 1762 – February 17, 1850) was born in Sussex County, Delaware. He was an early pioneer of the American Midwest, who moved with his large family as a boy, in 1766, from the East Coast over the Appalachians into the area of Fort Pitt in Western Pennsylvania (now Pittsburgh). After staying there a few years, the family moved down the Ohio River into Kentucky, Indiana, and Illinois. His narrative of these travels, which he wrote in 1842 at the age of 80, is a first-hand account of the early settlement of the Midwest. He served in the Pennsylvania militia during the American Revolutionary War. He died in Mount Auburn, Indiana at the age of 87."
Matthias Richards,What is the significance of Matthias Richards?,matthias richards february august member united states house representatives pennsylvania,"Matthias Richards (February 26, 1758 – August 4, 1830) was a member of the United States House of Representatives from Pennsylvania."
Daniel Roberdeau,What is the significance of Daniel Roberdeau?,daniel roberdeau january american founding father merchant residing philadelphia pennsylvania time american war independence represented pennsylvania continental congress signed articles confederation roberdeau served brigadier general pennsylvania state militia war,"Daniel Roberdeau (1727 – January 5, 1795) was an American Founding Father and merchant residing in Philadelphia, Pennsylvania, at the time of the American War of Independence. He represented Pennsylvania from 1777 to 1779 in the Continental Congress, where he signed the Articles of Confederation. Roberdeau served as a brigadier general in the Pennsylvania state militia during the war."
Gilbert Rodman (born 1748),What is the significance of Gilbert Rodman (born 1748)?,gilbert rodman july august prominent resident bucks county pennsylvania served american revolutionary war,"Gilbert Rodman (July 21, 1748 - August 21, 1830) was a prominent resident of Bucks County, Pennsylvania who served in the American Revolutionary War."
John Rosbrugh,What is the significance of John Rosbrugh?,rev john rosbrugh c ordained presbyterian minister beginning american revolutionary war organized became commander rd northampton county pennsylvania militia accepted commission company chaplain rosbrugh killed battle assunpink creek also known second battle trenton first u chaplain killed battle,"The Rev. John Rosbrugh (c. 1714 – 1777), was an ordained a Presbyterian minister. In 1776, at the beginning of the American Revolutionary War, he organized and became commander of the 3rd Northampton County, Pennsylvania militia, and then accepted a commission as company chaplain. Rosbrugh was killed at the Battle of the Assunpink Creek, also known as the Second Battle of Trenton, the first U.S. chaplain killed in battle."
James Searle,What is the significance of James Searle?,james searle c august american merchant patriot delegate continental congress,"James Searle (c.1730—August 7, 1797) was an American merchant, Patriot, and delegate to the Continental Congress."
John Small (gunsmith),What is the significance of John Small (gunsmith)?,john small american gunsmith frontiersman soldier public official irish immigrant pennsylvania served american revolutionary war war served sheriff knox county indiana territorial legislator indiana territory first adjutant general,"John Small (1759 – 1821) was an American gunsmith, frontiersman, soldier, and public official. An Irish immigrant to Pennsylvania, he served in the American Revolutionary War. After the war, he served as sheriff of Knox County, Indiana, as a territorial legislator, and as Indiana Territory's first Adjutant General."
James Smith (frontiersman),What is the significance of James Smith (frontiersman)?,james smith november april frontiersman farmer soldier british north america led black boys group pennsylvania men nine month rebellion british rule ten years outbreak american revolutionary war participated revolutionary war colonel pennsylvania militia legislator kentucky general assembly smith also author publishing memoir captivity native americans narrative depth analysis native american fighting techniques based observations captivity,"James Smith (November 26, 1737 – April 11, 1813) was a frontiersman, farmer and soldier in British North America. In 1765, he led the ""Black Boys"", a group of Pennsylvania men, in a nine-month rebellion against British rule ten years before the outbreak of the American Revolutionary War. He participated in the Revolutionary War as a colonel of the Pennsylvania militia and was a legislator in the Kentucky General Assembly. Smith was also an author, publishing a memoir about his captivity by Native Americans in his Narrative in 1799, and in 1812 an in-depth analysis of Native American fighting techniques, based on observations during his captivity."
Jonathan Bayard Smith,What is the significance of Jonathan Bayard Smith?,jonathan bayard smith february june american politician merchant philadelphia one founding fathers united states smith served delegate pennsylvania continental congress signed articles confederation,"Jonathan Bayard Smith (February 21, 1742 – June 16, 1812) was an American politician and merchant  from Philadelphia who was one of the Founding Fathers of the United States. Smith served as a delegate for Pennsylvania to the Continental Congress in 1777 and 1778, where he signed the Articles of Confederation."
Thomas Smith (Pennsylvania judge),What is the significance of Thomas Smith (Pennsylvania judge)?,thomas smith march politician jurist pennsylvania,"Thomas Smith (1745 – March 31, 1809) was a politician and jurist from Pennsylvania."
Jacob Sommer,What is the significance of Jacob Sommer?,jacob sommer february february officer american revolution pennsylvania state senator associate judge lived moreland township philadelphia county pennsylvania neighborhood somerton northeast philadelphia named,"Jacob Sommer (14 February 1758 – February 1827) was an officer in the American Revolution, a Pennsylvania State Senator, and an Associate Judge who lived in Moreland Township, Philadelphia County, Pennsylvania.  The neighborhood of Somerton in northeast Philadelphia was named for him."
Richard Thomas (Pennsylvania politician),What is the significance of Richard Thomas (Pennsylvania politician)?,richard thomas december january american politician pennsylvania served federalist member united states house representatives pennsylvania rd congressional district also served pennsylvania state senate th senatorial district,"Richard Thomas (December 30, 1744 – January 19, 1832) was an American politician from Pennsylvania who served as a Federalist member of the United States House of Representatives from Pennsylvania's 3rd congressional district from 1795 to 1801. He also served in the Pennsylvania State Senate for the 9th Senatorial District from 1791 to 1793.

"
William Todd (soldier),What is the significance of William Todd (soldier)?,william todd c october american soldier politician pennsylvania,"William Todd  (c. 1739 – October 10, 1810) was an American soldier and politician from Pennsylvania."
James M. Wallace,What is the significance of James M. Wallace?,james wallace december american politician served democratic republican member u house representatives pennsylvania rd congressional district,"James M. Wallace (1750 – December 17, 1823) was an American politician who served as a Democratic-Republican member of the U.S. House of Representatives for Pennsylvania's 3rd congressional district from 1815 to 1821."
Isaac Weaver Jr.,What is the significance of Isaac Weaver Jr.?,isaac weaver jr march may american politician pennsylvania served democratic republican member pennsylvania house representatives including speaker resigned speaker march take office pennsylvania treasurer time office elected general assembly served member pennsylvania senate th district speaker senate,"Isaac Weaver Jr. (March 1, 1756 – May 2, 1830) was an American politician from Pennsylvania who served as a Democratic-Republican member of the Pennsylvania House of Representatives 1797 to 1803, including as Speaker from 1800 to 1803. He resigned as Speaker on March 1, 1803, to take the office of Pennsylvania Treasurer, at that time an office elected by the General Assembly.
He served as a member of the Pennsylvania Senate for the 18th district from 1809 to 1812 and again from 1817 to 1820 as Speaker of the Senate."
John Wilkins Jr.,What is the significance of John Wilkins Jr.?,john wilkins jr december april united states army officer served quartermaster general united states army,"John Wilkins Jr. (December 22, 1761 – April 20, 1816) was a United States Army officer who served as Quartermaster General of the United States Army from 1796 to 1802."
David Williamson (soldier),What is the significance of David Williamson (soldier)?,david williamson mass murderer colonel pennsylvania militia american revolutionary war born near carlisle pennsylvania led american militiamen gnadenhutten massacre moravian christian indian martyrs though failed plan massacre christian indians primarily lenape mahican schoenbrunn led pennsylvanian soldiers massacre peaceful delaware indians killbuck island allies united states second command crawford expedition david williamson allowed men rape women children snow simultaneously killing,"David Williamson (1752–1814) was a mass murderer and colonel in the Pennsylvania Militia during the American Revolutionary War. He was born near Carlisle, Pennsylvania, and led American militiamen in the Gnadenhutten massacre of the Moravian Christian Indian Martyrs, though he failed in his plan to massacre the Christian Indians (primarily Lenape and Mahican) in Schoenbrunn. He led Pennsylvanian soldiers in the massacre of peaceful Delaware Indians in Killbuck Island (who were allies of the United States) and was second in command in the Crawford expedition. David Williamson allowed his men to rape women and children in the snow while simultaneously killing them."
James Wilson (Founding Father),What is the significance of James Wilson (Founding Father)?,james wilson september august scottish born american founding father legal scholar jurist statesman served associate justice united states supreme court wilson elected twice continental congress signatory declaration independence major participant drafting u constitution becoming one six people sign documents leading legal theorist one first four associate justices appointed supreme court george washington capacity first professor law college philadelphia later become university pennsylvania taught first course new constitution president washington cabinet born near leven fife scotland wilson immigrated philadelphia became teacher college philadelphia studying law john dickinson admitted bar set legal practice reading pennsylvania wrote well received pamphlet arguing british parliament taxation thirteen colonies illegitimate colonies lacked representation parliament elected continental congress signed declaration next year addition roles public service wilson served president illinois wabash company land speculation venture wilson delegate constitutional convention philadelphia member committee detail produced first draft constitution principal architect executive branch federal government outspoken supporter greater participatory democracy strong national government proportional legislative representation based population along roger sherman charles pinckney proposed three fifths compromise counted three fifths state slave population toward state total population purposes representation united states house representatives preferring direct election president national popular vote proposed use electoral college provided basis electoral college system ultimately adopted convention following convention wilson campaigned constitution ratification speech statehouse yard reprinted newspapers throughout country however opposed bill rights wilson also played major role drafting pennsylvania constitution wilson joined supreme court also named professor law faculty college philadelphia wilson experienced financial ruin panic sent debtors prison two occasions august suffered stroke becoming first u supreme court justice die,"James Wilson (September 14, 1742 – August 21, 1798) was a Scottish-born American Founding Father, legal scholar, jurist, and statesman who served as an associate justice of the United States Supreme Court from 1789 to 1798. Wilson was elected twice to the Continental Congress, was a signatory of the Declaration of Independence, and was a major participant in drafting the U.S. Constitution becoming one of only six people to sign both documents. A leading legal theorist, he was one of the first four Associate Justices appointed to the Supreme Court by George Washington. In his capacity as the first professor of law at the College of Philadelphia (later to become the University of Pennsylvania), he taught the first course on the new Constitution to President Washington and his Cabinet in 1789 and 1790.
Born near Leven, Fife, Scotland, Wilson immigrated to Philadelphia in 1766 and became a teacher at the College of Philadelphia. After studying law under John Dickinson, he was admitted to the bar and set up legal practice in Reading, Pennsylvania. He wrote a well-received pamphlet arguing that the British Parliament's taxation of the Thirteen Colonies was illegitimate because the colonies lacked representation in Parliament. In 1775, he was elected to the Continental Congress, where he signed the Declaration the next year. In addition to his roles in public service, Wilson served as president of the Illinois-Wabash Company, a land speculation venture.
Wilson was a delegate to the 1787 Constitutional Convention in Philadelphia, where he was a member of the Committee of Detail which produced the first draft of the Constitution. He was the principal architect of the executive branch of the federal government and was an outspoken supporter of greater participatory democracy, a strong national government, and proportional legislative representation based on population. Along with Roger Sherman and Charles Pinckney, he proposed the Three-fifths Compromise, which counted three-fifths of each state's slave population toward that state's total population for the purposes of representation in the United States House of Representatives. While preferring the direct election of the president through a national popular vote, he proposed the use of an electoral college, which provided the basis of the Electoral College system ultimately adopted by the convention. Following the convention, Wilson campaigned for the Constitution's ratification, and his ""speech in the statehouse yard"" was reprinted in newspapers throughout the country. However, he opposed the Bill of Rights. Wilson also played a major role in drafting the 1790 Pennsylvania Constitution.
In 1789, Wilson joined the Supreme Court and also was named a professor of law on the faculty at the College of Philadelphia. Wilson experienced financial ruin in the Panic of 1796–1797 and was sent to debtors' prison on two occasions. In August 1798, he suffered a stroke, becoming the first U.S. Supreme Court justice to die."
John Adams (shoemaker),What is the significance of John Adams (shoemaker)?,john adams february january march american shoemaker veteran american revolution centenarian notable possibly earliest born person ever photographed alive,"John Adams (February 1, 1745 [O.S. January 21, 1744] –  March 26, 1849) was an American shoemaker, veteran of the American Revolution and centenarian who is notable for possibly being the earliest-born person to have ever been photographed alive."
John Allan (colonel),What is the significance of John Allan (colonel)?,colonel john allan p j p january february canadian politician became officer massachusetts militia american revolutionary war served george washington revolutionary war superintendent eastern indians colonel infantry recruited indian tribes eastern maine stand americans war participated border negotiations maine new brunswick,"Colonel John Allan M.P. J.P. (January 3, 1746 – February 7, 1805) was a Canadian politician who became an officer with the Massachusetts Militia in the American Revolutionary War. He served under George Washington during the Revolutionary War as Superintendent of the Eastern Indians and Colonel of Infantry, and he recruited Indian tribes of Eastern Maine to stand with the Americans during the war and participated in border negotiations between Maine, and New Brunswick."
David Ames (colonel),What is the significance of David Ames (colonel)?,david ames february august served first superintendent springfield armory springfield massachusetts october supplied american army shovels guns american revolution commissioned militia upon completion service armory entered paper manufacturing business proprietor extensive paper manufacturing operation united states,"David Ames (February 2, 1760 - August 6, 1847) served as first superintendent of the Springfield Armory in Springfield, Massachusetts, from 1794 to October 31, 1802. He supplied the American army with shovels and guns during the American Revolution and was commissioned in the militia. Upon completion of service at the Armory, he entered the paper-manufacturing business and by 1838 was proprietor of the most extensive paper manufacturing operation in the United States."
Aaron Bancroft,What is the significance of Aaron Bancroft?,aaron bancroft november august american clergyman born reading massachusetts samuel bancroft lydia parker,"Aaron Bancroft (November 10, 1755 – August 19, 1839) was an American clergyman. He was born in Reading, Massachusetts to Samuel Bancroft and Lydia Parker."
Supply Belcher,What is the significance of Supply Belcher?,supply belcher march june american composer singer compiler tune books one called yankee tunesmiths first new england school group mostly self taught composers created sacred vocal music local choirs active first lexington massachusetts eventually moved farmington maine like colleagues belcher could make music main occupation worked tax assessor schoolmaster town clerk nevertheless considerably well known musical activities even dubbed handell sic maine local newspaper works survive harmony maine collection belcher published boston,"Supply Belcher (March 29, 1751 – June 9, 1836) was an American composer, singer, and compiler of tune books. He was one of the so-called Yankee tunesmiths or First New England School, a group of mostly self-taught composers who created sacred vocal music for local choirs. He was active first in Lexington, Massachusetts, then eventually moved to Farmington, Maine. Like most of his colleagues, Belcher could not make music his main occupation, and worked as tax assessor, schoolmaster, town clerk, and so on; nevertheless he was considerably well known for his musical activities, and even dubbed 'the Handell [sic] of Maine' by a local newspaper. Most of his works survive in The Harmony of Maine, a collection Belcher published himself in Boston in 1794."
William Berry (Maine settler),What is the significance of William Berry (Maine settler)?,william berry march august maine born soldier american revolution,"William Berry (March 6, 1753 – August 29, 1824) was a Maine-born soldier during the American Revolution."
Thaddeus Bowman,What is the significance of Thaddeus Bowman?,thaddeus bowman last scout sent capt john parker lexington massachusetts one find approaching british troops get back warn militia first day american revolution shot heard round world,"Thaddeus Bowman (1712-1806) was the last scout sent out by Capt. John Parker at Lexington, Massachusetts, but the only one to find the approaching British troops and get back to warn the militia on the first day of the American Revolution (""the shot heard 'round the world"")."
Luke Brooks (American soldier),What is the significance of Luke Brooks (American soldier)?,luke brooks american soldier served battles lexington concord first battles american revolutionary war born concord massachusetts august thomas brooks hannah brooks luke married lucy wheeler concord april brooks served lexington alarm militia called concord served participant first battles american revolutionary war stow militia private assabet company minutemen assabet village became maynard massachusetts took part delivering new troops three year terms service brooks served local school committee district school located nearby summer street luke brooks died january survived son stephen brooks also veteran lexington concord brooks house built survives one oldest extant houses maynard,"Luke Brooks (1731–1817) was an American soldier who served at the Battles of Lexington and Concord, the first battles of the American Revolutionary War. He was born in Concord, Massachusetts, on August 10, 1731, to Thomas Brooks and Hannah Brooks. Luke married Lucy Wheeler in Concord in 1755. On April 19, 1775, Brooks served at the Lexington Alarm when the militia was called to Concord, and he served as a participant in the first battles of the American Revolutionary War in the Stow militia as a private in the Assabet Company of Minutemen, who were from Assabet village, which became Maynard, Massachusetts, in 1871. He took part in delivering new troops for three year terms of service. In 1789 Brooks served on the local school committee for the district school located nearby on Summer Street. Luke Brooks died on January 17, 1817, and was survived by his son, Stephen Brooks (1756–1836), who was also a veteran of Lexington and Concord. Brooks' house (built 1764) survives as one of the oldest extant houses in Maynard."
John Brown of Pittsfield,What is the significance of John Brown of Pittsfield?,john brown october october pittsfield massachusetts revolutionary war officer state legislator berkshire county judge played key roles conquest fort ticonderoga start war american invasion canada lieutenant general john burgoyne invasion united states way lake champlain hudson river brown first man bring formal charges benedict arnold prominent american general brown killed action battle stone arabia mohawk valley,"John Brown (October 19, 1744 – October 19, 1780) of Pittsfield, Massachusetts, was a Revolutionary War officer, a state legislator, and a Berkshire County judge. He played key roles in the conquest of Fort Ticonderoga at the start of the war, during the American invasion of Canada in 1775-1776, and once again in 1777 during Lieutenant General John Burgoyne's invasion of the United States by way of Lake Champlain and the Hudson River.
Brown was the first man to bring formal charges against Benedict Arnold, who was then a prominent American general.
Brown was killed in action at the Battle of Stone Arabia in the Mohawk Valley in 1780."
Roger Brown (colonel),What is the significance of Roger Brown (colonel)?,roger brown march american carpenter soldier american revolutionary war,"Roger Brown (1749 – March 6, 1840) was an American carpenter and soldier in the American Revolutionary War."
Stephen Bullock,What is the significance of Stephen Bullock?,stephen bullock october february united states representative massachusetts born rehoboth province massachusetts bay attended common schools taught school captain sixth company col thomas carpenter iii regiment massachusetts militia revolutionary war battle rhode island delegate first state constitutional convention member massachusetts house representatives bullock elected federalist fifth congress serving march march judge court common pleas bristol county member governor council died rehoboth interment burial place hill,"Stephen Bullock (October 10, 1735 – February 2, 1816) was a United States representative from Massachusetts. Born in Rehoboth in the Province of Massachusetts Bay, he attended the common schools, taught school, and was a captain of the Sixth Company in Col. Thomas Carpenter III's Regiment of Massachusetts militia during the Revolutionary War, and was in the Battle of Rhode Island in 1778. He was a delegate to the first State constitutional convention in 1780 and was a member of the Massachusetts House of Representatives in 1783, 1785, 1786, 1795, and 1796.
Bullock was elected as a Federalist to the Fifth Congress, serving from March 4, 1797 to March 3, 1799. He was judge of the Court of Common Pleas for Bristol County and from 1803 to 1805 was a member of the Governor's council. He died in Rehoboth; interment was in Burial Place Hill."
John Buttrick,What is the significance of John Buttrick?,major john buttrick july may concord massachusetts one leaders concord militia battle concord april given usual interpretation first stanza ralph waldo emerson famous poem concord hymn buttrick man ordered shot heard around world,"Major John Buttrick (July 20, 1731— May 16, 1791, Concord, Massachusetts) was one of the leaders of the Concord militia during the Battle of Concord on April 19, 1775.  Given the usual interpretation of the first stanza of Ralph Waldo Emerson's famous poem ""Concord Hymn,"" Buttrick is the man who ordered ""the shot heard around the world."""
Thomas Carpenter III,What is the significance of Thomas Carpenter III?,thomas carpenter iii born october rehoboth province massachusetts died april rehoboth american revolutionary war officer served colonel massachusetts militia united states commanded first bristol regiment carpenter elected delegate represent rehoboth massachusetts provincial congress elected deputy general court massachusetts carpenter built historic col thomas carpenter iii house wife located bay state road rehoboth massachusetts added national register historic places,"Thomas Carpenter III was born October 24, 1733, in Rehoboth, Province of Massachusetts and died April 26, 1807, in Rehoboth. He was an American Revolutionary War officer who served as a colonel in the Massachusetts Militia (United States) and commanded the First Bristol Regiment from 1776 to 1780.
Carpenter was elected as a delegate in 1774 to represent Rehoboth for the Massachusetts Provincial Congress and was elected Deputy to the General Court of Massachusetts in 1775.
Carpenter built the now historic Col. Thomas Carpenter III House for his wife in 1755. It is located at 77 Bay State Road in Rehoboth, Massachusetts, and was added to the National Register of Historic Places in 1983."
George Claghorn,What is the significance of George Claghorn?,george claghorn july july february american patriot shipwright served officer american revolutionary war wounded battle bunker hill war awarded rank colonel massachusetts militia claghorn master shipbuilder uss constitution k old ironsides samuel nicholson built early united states navy years old ironsides oldest naval vessel world still commissioned afloat seaworthy,"George Claghorn (July 17, 1748 [O.S. July 6, 1748] – February 3, 1824) was an American patriot and shipwright.  He served as an officer in the American Revolutionary War and was wounded in the Battle of Bunker Hill.  After the war, he was awarded the rank of colonel in the Massachusetts militia.  Claghorn was the master shipbuilder of the USS Constitution (a.k.a. Old Ironsides), which he and Samuel Nicholson built for the early United States Navy during the years 1794–1797. Old Ironsides is the oldest naval vessel in the world that is still commissioned, afloat and seaworthy."
Ebenezer Crafts,What is the significance of Ebenezer Crafts?,ebenezer crafts one founders craftsbury vermont leicester academy crafts born pomfret connecticut studied theology graduating yale college married mehitable chandler sister painter winthrop chandler december mehitable town next pomfret woodstock connecticut couple settled crafts later purchased farm neighboring town sturbridge massachusetts built large publick house center village couple kept tavern many years acquired large estate battles lexington concord raised company cavalry adjoining towns sturbridge charlton dudley oxford commissioned captain ordered join army cambridge remained service evacuation boston british troops returned sturbridge regiment cavalry ordered raised worcester county massachusetts regiment commissioned first colonel office held resignation outbreak known shays rebellion western massachusetts rendered prompt efficient service suppression gen benjamin lincoln winter col crafts conceived idea founding academy sturbridge opportunity secure mansion aaron lopez neighboring town leicester massachusetts induced modify plans mansion suitable building estate purchased auction large oil portrait col crafts hangs upon walls leicester academy aided largely enterprise col jacob davis first student june son samuel c crafts falling hard times crafts forced move settled town near cabot vermont later named crafts lived rest life craftsbury vermont died buried,"Ebenezer Crafts (1740 – 1810) was one of the founders of Craftsbury, Vermont, and Leicester Academy.

Crafts was born in Pomfret, Connecticut, and studied theology, graduating from Yale College in 1759. He married Mehitable Chandler, sister of the painter Winthrop Chandler, on 9 December 1762.  Mehitable was from the town next to Pomfret, Woodstock, Connecticut, where the couple settled in 1768.  Crafts later purchased a farm in the neighboring town of Sturbridge, Massachusetts, where he built the large Publick House in the center of the village. The couple kept a tavern there for many years and they acquired a large estate. After the battles of Lexington and Concord, he raised a company of cavalry in the adjoining towns of Sturbridge, Charlton, Dudley, and Oxford, and was commissioned its captain. He was ordered to join the army with it at Cambridge, and remained in the service until the evacuation of Boston by the British troops, when he returned to Sturbridge. In 1785, a regiment of cavalry was ordered to be raised in Worcester County, Massachusetts. Of this regiment he was commissioned its first colonel, an office which he held until his resignation in 1791. During the outbreak known as ""Shays' Rebellion,"" in western Massachusetts, he rendered prompt and efficient service in its suppression, under Gen. Benjamin Lincoln, in the winter of 1786–1787.
Col. Crafts conceived the idea of founding an academy in Sturbridge, but the opportunity to secure the mansion of Aaron Lopez, in the neighboring town of Leicester, Massachusetts, induced him to modify his plans. The mansion was a very suitable building, and the estate was purchased at auction for £515. A large oil portrait of Col. Crafts hangs upon the walls of Leicester Academy. He was aided largely in this enterprise by Col. Jacob Davis, and the first student on 17 June 1784 was his son Samuel C. Crafts.
Falling on hard times, in 1788 Crafts was forced to move and settled in 1791 in a town near Cabot, Vermont. It was later named after him. Crafts lived the rest of his life in Craftsbury, Vermont.  He died and was buried there in 1810."
Elijah Crane,What is the significance of Elijah Crane?,elijah crane august february canton massachusetts farmer inn keeper served first town clerk first board selectmen canton massachusetts crane also first representative massachusetts house representatives canton sheriff norfolk county massachusetts may june crane also served th grand master masons massachusetts death involved creation dedham bank,"Elijah Crane (August 29, 1754-February 21, 1834) was a Canton, Massachusetts farmer, and inn keeper, who served as the first Town Clerk, and on the first Board of Selectmen of Canton, Massachusetts.  Crane was also the first representative to the Massachusetts House of Representatives from Canton, and the sheriff of Norfolk County, Massachusetts from May 16, 1810 to 1811 and from June 20, 1812 to 1834.
Crane also served as the 24th Grand Master of Masons in Massachusetts during 1833 and until his death in 1834.
He was involved with the creation of the Dedham Bank."
Timothy Danielson,What is the significance of Timothy Danielson?,timothy danielson third son john margaret mughill danielson graduated yale teacher merchant soldier public official massachusetts american revolution served massachusetts provincial congress commissioned colonel regiment continental army lexington alarm raised april assembled regiment eight companies consisting many men hampshire county time lt colonel william shepard surgeon david shepard later danielson chosen brigadier general hampshire county served new york general washington raised major general served member massachusetts constitutional convention member massachusetts general court danielson elected fellow american academy arts sciences according tradition possessed herculean frame united herculean strength,"Timothy Danielson (1733–1791) was the third son of John and Margaret (Mughill) Danielson. He graduated from Yale in 1756. He was a teacher, merchant, soldier, and public official from Massachusetts. During the American Revolution, he served in the Massachusetts Provincial Congress and in 1775, was commissioned colonel of a regiment of the Continental Army.
When the Lexington Alarm was raised in April 1775, he ""assembled a regiment of eight companies"" consisting of many men from Hampshire County. During this time, his Lt Colonel was William Shepard; the Surgeon was David Shepard. Later, Danielson was chosen Brigadier General for Hampshire County in 1776 and served in New York under General Washington. He was raised to Major General in 1781.
From 1779 to 1789, he served as a member of the Massachusetts Constitutional Convention and was a member of the Massachusetts General Court. Danielson was elected a Fellow of the American Academy of Arts and Sciences in 1781.
According to tradition, he ""possessed a Herculean frame, united with Herculean strength."""
Isaac Davis (soldier),What is the significance of Isaac Davis (soldier)?,isaac davis february april gunsmith militia officer commanded company minutemen acton massachusetts first battle american revolutionary war months leading revolution davis set unusually high standards company terms equipment training preparedness company selected lead advance british regulars battle concord men entirely outfitted bayonets american advance british old north bridge davis among first killed first american officer die revolution davis memorialized isaac davis monument acton town common also inspiration behind minute man sculpture old north bridge daniel chester french sculpture french attempted model davis using photographs davis descendants iconic national symbol,"Isaac Davis (February 23, 1745 – April 19, 1775) was a gunsmith and a militia officer who commanded a company of Minutemen from Acton, Massachusetts, during the first battle of the American Revolutionary War. In the months leading up to the Revolution, Davis set unusually high standards for his company in terms of equipment, training, and preparedness.  His company was selected to lead the advance on the British Regulars during the Battle of Concord because his men were entirely outfitted with bayonets.  During the American advance on the British at the Old North Bridge, Davis was among the first killed and was the first American officer to die in the Revolution.
Davis is memorialized through the Isaac Davis Monument on the Acton Town Common.  He was also the inspiration behind The Minute Man (1875), the sculpture at the Old North Bridge by Daniel Chester French.  The sculpture, which French attempted to model after Davis using photographs of Davis's descendants, is now an iconic national symbol."
