Title,Page ID,Description,Content
Expulsion of the Loyalists,32903433,"During the American Revolution, those who continued to support King George III of Great Britain came to be known as Loyalists. Loyalists are to be contrasted with Patriots, who supported the Revolution. Historians have estimated that during the American Revolution, between 15 and 20 percent of the white population of the colonies, or about 500000  people, were Loyalists. As the war concluded with Great Britain defeated by the Americans and the French, the most active Loyalists were no longer welcome in the United States, and sought to move elsewhere in the British Empire. The large majority (about 80%–90%) of the Loyalists remained in the United States, however, and enjoyed full citizenship there.

61,000 White loyalists (who also had 17,000 slaves)
3,500 free Black loyalists emigrate to Canada.
2,000 enslaved Blacks are taken to Canada
42,000 Whites emigrate to Canada
3,400 Native Iroquois emigrate to Canada
7,000 Whites emigrate to Britain
5,000  free Blacks emigrate to Britain
12,000 Whites emigrate to Florida or the Caribbean
6,500 enslaved Blacks are taken to Florida
Jasanoff (2012) estimates that a total of 60000  white settlers left the new United States. The majority of them—about 33000 —went to Nova Scotia (14000  of these to what would become New Brunswick), 6,600 went to Quebec (which at the time included modern-day Ontario), and 2000  to Prince Edward Island. About 5000  white Loyalists went to Florida (then a Spanish Possession), bringing along their slaves who numbered about 6,500. About 7000  Whites and 5000  free Blacks went to Britain.
 A recent study increases the estimate to the traditional figure of 100000 .
The departing Loyalists were offered free land in British North America. Many were prominent colonists whose ancestors had originally settled in the early 17th century, while a portion were recent settlers in the Thirteen Colonies with few economic or social ties. Many had their property confiscated by Patriots. A later wave of roughly 30000  Americans, who came to be known as 'Late Loyalists' were lured by the promise of land upon swearing loyalty to the King and voluntarily moved to Ontario in the 1790s into the first decade of the 1800s. Unlike that of the first group of 'refugee' Loyalists, this later group's perceived ""loyalty"" is a topic which remains in historical debate. Many of these later Loyalists came to oppose and became the most ardent opposition to the staunch Toryism which was exercised by the ruling class in the new colony.
Loyalists resettled in what was initially the Province of Quebec (including modern-day Ontario), and in Nova Scotia (including modern-day New Brunswick). Their arrival marked the arrival of an English-speaking population in the future Canada west and east of the Quebec border. Many Loyalists from the American South brought their slaves with them as slavery was also legal in Canada. An imperial law in 1790 assured prospective immigrants to Canada that their slaves would remain their property. However more black Loyalists were free, having been given their freedom from slavery by fighting for the British or joining British lines during the Revolution. The government helped them resettle in Canada as well, transporting nearly 3,500 free blacks to New Brunswick.","During the American Revolution, those who continued to support King George III of Great Britain came to be known as Loyalists. Loyalists are to be contrasted with Patriots, who supported the Revolution. Historians have estimated that during the American Revolution, between 15 and 20 percent of the white population of the colonies, or about 500000  people, were Loyalists. As the war concluded with Great Britain defeated by the Americans and the French, the most active Loyalists were no longer welcome in the United States, and sought to move elsewhere in the British Empire. The large majority (about 80%–90%) of the Loyalists remained in the United States, however, and enjoyed full citizenship there.

61,000 White loyalists (who also had 17,000 slaves)
3,500 free Black loyalists emigrate to Canada.
2,000 enslaved Blacks are taken to Canada
42,000 Whites emigrate to Canada
3,400 Native Iroquois emigrate to Canada
7,000 Whites emigrate to Britain
5,000  free Blacks emigrate to Britain
12,000 Whites emigrate to Florida or the Caribbean
6,500 enslaved Blacks are taken to Florida
Jasanoff (2012) estimates that a total of 60000  white settlers left the new United States. The majority of them—about 33000 —went to Nova Scotia (14000  of these to what would become New Brunswick), 6,600 went to Quebec (which at the time included modern-day Ontario), and 2000  to Prince Edward Island. About 5000  white Loyalists went to Florida (then a Spanish Possession), bringing along their slaves who numbered about 6,500. About 7000  Whites and 5000  free Blacks went to Britain.
 A recent study increases the estimate to the traditional figure of 100000 .
The departing Loyalists were offered free land in British North America. Many were prominent colonists whose ancestors had originally settled in the early 17th century, while a portion were recent settlers in the Thirteen Colonies with few economic or social ties. Many had their property confiscated by Patriots. A later wave of roughly 30000  Americans, who came to be known as 'Late Loyalists' were lured by the promise of land upon swearing loyalty to the King and voluntarily moved to Ontario in the 1790s into the first decade of the 1800s. Unlike that of the first group of 'refugee' Loyalists, this later group's perceived ""loyalty"" is a topic which remains in historical debate. Many of these later Loyalists came to oppose and became the most ardent opposition to the staunch Toryism which was exercised by the ruling class in the new colony.
Loyalists resettled in what was initially the Province of Quebec (including modern-day Ontario), and in Nova Scotia (including modern-day New Brunswick). Their arrival marked the arrival of an English-speaking population in the future Canada west and east of the Quebec border. Many Loyalists from the American South brought their slaves with them as slavery was also legal in Canada. An imperial law in 1790 assured prospective immigrants to Canada that their slaves would remain their property. However more black Loyalists were free, having been given their freedom from slavery by fighting for the British or joining British lines during the Revolution. The government helped them resettle in Canada as well, transporting nearly 3,500 free blacks to New Brunswick."
Lumières,7843173,"The Lumières (literally in English: The Lights) was a cultural, philosophical, literary and intellectual movement beginning in the second half of the 17th century, originating in western Europe and spreading throughout the rest of Europe. It included philosophers such as Baruch Spinoza, David Hume, John Locke, Edward Gibbon, Voltaire, Jean-Jacques Rousseau, Denis Diderot, Pierre Bayle and Isaac Newton. This movement is influenced by the scientific revolution in southern Europe arising directly from the Italian Renaissance with people like Galileo Galilei. Over time it came to mean the Siècle des Lumières, in English the Age of Enlightenment.
Members of the movement saw themselves as a progressive élite, and battled against religious and political persecution, fighting against what they saw as the irrationality, arbitrariness, obscurantism and superstition of the previous centuries. They redefined the study of knowledge to fit the ethics and aesthetics of their time. Their works had great influence at the end of the 18th century, in the American Declaration of Independence and the French Revolution.
This intellectual and cultural renewal by the Lumières movement was, in its strictest sense, limited to Europe. These ideas were well understood in Europe, but beyond France the idea of ""enlightenment"" had generally meant a light from outside, whereas in France it meant a light coming from within oneself.
In the most general terms, in science and philosophy, the Enlightenment aimed for the triumph of reason over faith and belief; in politics and economics, the triumph of the bourgeois over nobility and clergy.

","The Lumières (literally in English: The Lights) was a cultural, philosophical, literary and intellectual movement beginning in the second half of the 17th century, originating in western Europe and spreading throughout the rest of Europe. It included philosophers such as Baruch Spinoza, David Hume, John Locke, Edward Gibbon, Voltaire, Jean-Jacques Rousseau, Denis Diderot, Pierre Bayle and Isaac Newton. This movement is influenced by the scientific revolution in southern Europe arising directly from the Italian Renaissance with people like Galileo Galilei. Over time it came to mean the Siècle des Lumières, in English the Age of Enlightenment.
Members of the movement saw themselves as a progressive élite, and battled against religious and political persecution, fighting against what they saw as the irrationality, arbitrariness, obscurantism and superstition of the previous centuries. They redefined the study of knowledge to fit the ethics and aesthetics of their time. Their works had great influence at the end of the 18th century, in the American Declaration of Independence and the French Revolution.
This intellectual and cultural renewal by the Lumières movement was, in its strictest sense, limited to Europe. These ideas were well understood in Europe, but beyond France the idea of ""enlightenment"" had generally meant a light from outside, whereas in France it meant a light coming from within oneself.
In the most general terms, in science and philosophy, the Enlightenment aimed for the triumph of reason over faith and belief; in politics and economics, the triumph of the bourgeois over nobility and clergy.

"
Thomas Masterson (American Revolution),66358447,"Thomas Masterson was an officer in the American Revolution, serving as a Midshipman in the Virginia State Navy.","Thomas Masterson was an officer in the American Revolution, serving as a Midshipman in the Virginia State Navy."
Mersereau Ring,56930423,"The Mersereau Ring, a spy ring operating throughout the New Brunswick and New York regions during the American Revolution, began gathering intelligence on British military activity for General George Washington as early as December 1776. While retreating through New Brunswick, Washington set up the Mersereau Ring through businessman and patriot Joshua Mersereau. According to their initial arrangements, Joshua's eldest son John LaGrange Mersereau was to remain in New Brunswick after American forces retreated. By 1777, the Mersereau Ring expanded into a greater intelligence network operating under Colonel Elias Dayton of the 1st New Jersey Militia.","The Mersereau Ring, a spy ring operating throughout the New Brunswick and New York regions during the American Revolution, began gathering intelligence on British military activity for General George Washington as early as December 1776. While retreating through New Brunswick, Washington set up the Mersereau Ring through businessman and patriot Joshua Mersereau. According to their initial arrangements, Joshua's eldest son John LaGrange Mersereau was to remain in New Brunswick after American forces retreated. By 1777, the Mersereau Ring expanded into a greater intelligence network operating under Colonel Elias Dayton of the 1st New Jersey Militia."
HMS Musquito (1777),48249779,"HMS Musquito was a gunboat built by the British near a fort in present-day Michigan in 1777. This vessel was later captured at the Battle of Point Coupe by a group of George Rogers Clark's men of the Virginia State Line, then sold by the Virginia assembly to the Continental Navy in late 1779 for use on the Ohio and Mississippi rivers.","HMS Musquito was a gunboat built by the British near a fort in present-day Michigan in 1777. This vessel was later captured at the Battle of Point Coupe by a group of George Rogers Clark's men of the Virginia State Line, then sold by the Virginia assembly to the Continental Navy in late 1779 for use on the Ohio and Mississippi rivers."
No taxation without representation,773546,"""No taxation without representation"" (often shortened to ""taxation without representation"") is a political slogan that originated in  the American Revolution and which expressed one of the primary grievances of the American colonists for Great Britain. In short, many colonists believed that as they were not represented in the distant British parliament, any taxes it imposed on the colonists (such as the Stamp Act and the Townshend Acts) were unconstitutional and were a denial of the colonists' rights as Englishmen since the Magna Carta.
The firm belief that the government should not tax a populace unless that populace is represented in some manner in the government developed in the English Civil War, following the refusal of parliamentarian John Hampden to pay ship money tax. In the context of British taxation of its American colonies, the slogan ""No taxation without representation"" appeared for the first time in a headline of a February 1768 London Magazine printing of Lord Camden's ""Speech on the Declaratory Bill of the Sovereignty of Great Britain over the Colonies,"" which was given in parliament. The British government argued for virtual representation, the idea that people were represented by members of Parliament even if they didn't get to vote for them.
The term has since been used by various other groups advocating for representation or protesting against taxes, such as the women's suffrage movement, advocates of District of Columbia voting rights, students seeking to be included in governance in higher education, the Tea Party movement, and others.","""No taxation without representation"" (often shortened to ""taxation without representation"") is a political slogan that originated in  the American Revolution and which expressed one of the primary grievances of the American colonists for Great Britain. In short, many colonists believed that as they were not represented in the distant British parliament, any taxes it imposed on the colonists (such as the Stamp Act and the Townshend Acts) were unconstitutional and were a denial of the colonists' rights as Englishmen since the Magna Carta.
The firm belief that the government should not tax a populace unless that populace is represented in some manner in the government developed in the English Civil War, following the refusal of parliamentarian John Hampden to pay ship money tax. In the context of British taxation of its American colonies, the slogan ""No taxation without representation"" appeared for the first time in a headline of a February 1768 London Magazine printing of Lord Camden's ""Speech on the Declaratory Bill of the Sovereignty of Great Britain over the Colonies,"" which was given in parliament. The British government argued for virtual representation, the idea that people were represented by members of Parliament even if they didn't get to vote for them.
The term has since been used by various other groups advocating for representation or protesting against taxes, such as the women's suffrage movement, advocates of District of Columbia voting rights, students seeking to be included in governance in higher education, the Tea Party movement, and others."
The Papers of Benjamin Franklin,71623920,"The Papers of Benjamin Franklin is a collaborative effort by a team of scholars at Yale University, American Philosophical Society and others who have searched, collected, edited, and published the numerous letters from and to Benjamin Franklin, and other works, especially those involved with the American Revolutionary period and thereafter. The publication of Franklin's papers has been an ongoing production since its first issue in 1959, and is expected to reach nearly fifty volumes, with more than forty volumes completed as of 2022. The costly project was made possible from donations by the American Philosophical Association and Life magazine. 
Of the sources used to cover Franklin's life, Franklin biographer Henry Brands has maintained that the major source for Franklin's life among historians are his own correspondence and writings, and in particular, Franklin's autobiography. He considers The Papers of Benjamin Franklin,  ""by far the best"" and ""a model of scholarly editing"". Biographer Walter Isaacson has referred to The Papers of Benjamin Franklin  as ""definitive and extraordinary"" noting that while several publications of Franklin's papers exist, this ongoing publication is the most complete and scholarly. The first editor to amass and organize the papers was Leonard W. Labaree, beginning in 1959. Since then a good number of editors have and continue to oversee this task. Works and collections other than the continuing Yale/APS publication have also been published and are nominally featured here.

","The Papers of Benjamin Franklin is a collaborative effort by a team of scholars at Yale University, American Philosophical Society and others who have searched, collected, edited, and published the numerous letters from and to Benjamin Franklin, and other works, especially those involved with the American Revolutionary period and thereafter. The publication of Franklin's papers has been an ongoing production since its first issue in 1959, and is expected to reach nearly fifty volumes, with more than forty volumes completed as of 2022. The costly project was made possible from donations by the American Philosophical Association and Life magazine. 
Of the sources used to cover Franklin's life, Franklin biographer Henry Brands has maintained that the major source for Franklin's life among historians are his own correspondence and writings, and in particular, Franklin's autobiography. He considers The Papers of Benjamin Franklin,  ""by far the best"" and ""a model of scholarly editing"". Biographer Walter Isaacson has referred to The Papers of Benjamin Franklin  as ""definitive and extraordinary"" noting that while several publications of Franklin's papers exist, this ongoing publication is the most complete and scholarly. The first editor to amass and organize the papers was Leonard W. Labaree, beginning in 1959. Since then a good number of editors have and continue to oversee this task. Works and collections other than the continuing Yale/APS publication have also been published and are nominally featured here.

"
Paul Revere's Midnight Ride,64320794,"Paul Revere's Midnight Ride was an alert given to minutemen in the Province of Massachusetts Bay by local Patriots on the night of April 18, 1775, warning them of the approach of British Army troops prior to the battles of Lexington and Concord. In the preceding weeks, Patriots in the region gained wind of a planned crackdown on the Massachusetts Provincial Congress, then based in Concord, by the British occupational authorities in the colony. 
Sons of Liberty members Paul Revere and William Dawes prepared the alert, which began when Robert Newman, the sexton of Boston's Old North Church, used a lantern signal to warn colonists in Charlestown of the British Army's advance by way of the Charles River. Revere and Dawes then rode to meet John Hancock and Samuel Adams in Lexington, ten miles away, alerting up to 40 other Patriot riders along the way. Revere and Dawes then headed towards Concord with Samuel Prescott. 
The trio were intercepted by a British Army patrol in Lincoln. Prescott and Dawes escaped but Revere was returned to Lexington by the patrol and freed after questioning. By giving the minutemen advance warning of the British Army's actions, the ride played a crucial role in the Patriot victory in the subsequent battles at Lexington and Concord. The ride has been commemorated in a range of cultural depictions, most notably Henry Wadsworth Longfellow's 1861 poem, ""Paul Revere's Ride"", which has shaped popular memory of the event, despite its factual inaccuracies.","Paul Revere's Midnight Ride was an alert given to minutemen in the Province of Massachusetts Bay by local Patriots on the night of April 18, 1775, warning them of the approach of British Army troops prior to the battles of Lexington and Concord. In the preceding weeks, Patriots in the region gained wind of a planned crackdown on the Massachusetts Provincial Congress, then based in Concord, by the British occupational authorities in the colony. 
Sons of Liberty members Paul Revere and William Dawes prepared the alert, which began when Robert Newman, the sexton of Boston's Old North Church, used a lantern signal to warn colonists in Charlestown of the British Army's advance by way of the Charles River. Revere and Dawes then rode to meet John Hancock and Samuel Adams in Lexington, ten miles away, alerting up to 40 other Patriot riders along the way. Revere and Dawes then headed towards Concord with Samuel Prescott. 
The trio were intercepted by a British Army patrol in Lincoln. Prescott and Dawes escaped but Revere was returned to Lexington by the patrol and freed after questioning. By giving the minutemen advance warning of the British Army's actions, the ride played a crucial role in the Patriot victory in the subsequent battles at Lexington and Concord. The ride has been commemorated in a range of cultural depictions, most notably Henry Wadsworth Longfellow's 1861 poem, ""Paul Revere's Ride"", which has shaped popular memory of the event, despite its factual inaccuracies."
Pennsylvania Chronicle,29266294,"The Pennsylvania Chronicle and Universal Advertiser was an American colonial newspaper founded in 1767 that was published in Philadelphia, Pennsylvania, prior to the American Revolution. It was founded by William Goddard and his silent business partners Joseph Galloway and Thomas Wharton. Benjamin Franklin, an associate of Galloway, was also a partner with the Chronicle.
The newspaper was established to challenge the power of the Penn family and ultimately the Crown authorities who at that time were placing laws and taxes on the colonists without fair representation in the British Parliament.
The Chronicle was published once a week on a Monday, the first issue being released on January 6, 1767, and was printed from a new Bourgeois type set by Goddard's printing company in Philadelphia, The New Printing Office, on Market Street, near the post office. The annual subscription rate was ten shillings. The publication maintained operations from January 6, 1767, until February 8, 1774.
In 1768, William's sister, Mary Katherine Goddard, who later became the first woman to be a postmaster in Maryland, joined and managed her brother's printing office in Philadelphia.
By 1770 the Pennsylvania Chronicle had a circulation of about twenty-five hundred, making it one of the most successful colonial newspapers.
In the middle of the 18th century most of the printing presses that were in use in the American colonies were imported from England. Isaac Doolittle, a New-Haven watch and clock-maker, built the mahogany printing press for Goddard's Pennsylvania Chronicle in Philadelphia. It was the first printing press built in the American colonies.
Goddard's newspaper was not without its competition. A rival Philadelphia printer, William Bradford III, founder of The Pennsylvania Journal and Weekly Advertiser in 1742 conducted a newspaper war against Goddard that digressed into personal attacks.
During this time Galloway and Wharton had sold their shares of the Chronicle to a Robert Towne, who in turn made many attempts to persuade Goddard to sell his newspaper to him. After Goddard publicly criticized Galloway and Wharton he subsequently found himself jailed for debt in September 1771, no doubt at the prompting of the influential Galloway.","The Pennsylvania Chronicle and Universal Advertiser was an American colonial newspaper founded in 1767 that was published in Philadelphia, Pennsylvania, prior to the American Revolution. It was founded by William Goddard and his silent business partners Joseph Galloway and Thomas Wharton. Benjamin Franklin, an associate of Galloway, was also a partner with the Chronicle.
The newspaper was established to challenge the power of the Penn family and ultimately the Crown authorities who at that time were placing laws and taxes on the colonists without fair representation in the British Parliament.
The Chronicle was published once a week on a Monday, the first issue being released on January 6, 1767, and was printed from a new Bourgeois type set by Goddard's printing company in Philadelphia, The New Printing Office, on Market Street, near the post office. The annual subscription rate was ten shillings. The publication maintained operations from January 6, 1767, until February 8, 1774.
In 1768, William's sister, Mary Katherine Goddard, who later became the first woman to be a postmaster in Maryland, joined and managed her brother's printing office in Philadelphia.
By 1770 the Pennsylvania Chronicle had a circulation of about twenty-five hundred, making it one of the most successful colonial newspapers.
In the middle of the 18th century most of the printing presses that were in use in the American colonies were imported from England. Isaac Doolittle, a New-Haven watch and clock-maker, built the mahogany printing press for Goddard's Pennsylvania Chronicle in Philadelphia. It was the first printing press built in the American colonies.
Goddard's newspaper was not without its competition. A rival Philadelphia printer, William Bradford III, founder of The Pennsylvania Journal and Weekly Advertiser in 1742 conducted a newspaper war against Goddard that digressed into personal attacks.
During this time Galloway and Wharton had sold their shares of the Chronicle to a Robert Towne, who in turn made many attempts to persuade Goddard to sell his newspaper to him. After Goddard publicly criticized Galloway and Wharton he subsequently found himself jailed for debt in September 1771, no doubt at the prompting of the influential Galloway."
Pennsylvania Mutiny of 1783,19064510,"The Pennsylvania Mutiny of 1783 (also known as the Philadelphia Mutiny) was an anti-government protest by nearly 400 soldiers of the Continental Army in June 1783. The mutiny, and the refusal of the Executive Council of Pennsylvania to stop it, ultimately resulted in Congress of the Confederation vacating Philadelphia and the creation of a federal district, ultimately developed as Washington, D.C., to serve as the national capital.","The Pennsylvania Mutiny of 1783 (also known as the Philadelphia Mutiny) was an anti-government protest by nearly 400 soldiers of the Continental Army in June 1783. The mutiny, and the refusal of the Executive Council of Pennsylvania to stop it, ultimately resulted in Congress of the Confederation vacating Philadelphia and the creation of a federal district, ultimately developed as Washington, D.C., to serve as the national capital."
Philadelphia campaign,4332104,"The Philadelphia campaign (1777–1778) was a British military campaign during the American Revolutionary War designed to gain control of Philadelphia, the  Revolutionary-era capital where the Second Continental Congress convened and formed the Continental Army and appointed George Washington as its commander in 1775, and authored and unanimously adopted the Declaration of Independence the following year, on July 4, 1776, which formalized and escalated the war.
In the Philadelphia campaign, British General William Howe failed to draw the Continental Army under George Washington into a battle in North Jersey. Howe then embarked his army on transports, and landed them at the northern end of the Chesapeake Bay, where they began advancing north toward Philadelphia. Washington prepared defenses against Howe's movements at Brandywine Creek, but was flanked and beaten back in the Battle of Brandywine on September 11, 1777. After further skirmishes and maneuvers, Howe entered and occupied Philadelphia. Washington then unsuccessfully attacked one of Howe's garrisons at Germantown prior to retreating to Valley Forge for the winter, where he and 12,000 faced the harshest winter of the war, including insufficient food and clothing.
Howe's campaign was controversial because, while he succeeded in capturing the revolutionary capital of Philadelphia, he proceeded slowly and did not aid the concurrent campaign of John Burgoyne further north, which ended in disaster for the British in the Battles of Saratoga and brought France into the war. Howe resigned during the occupation of Philadelphia and was replaced by his second-in-command, General Sir Henry Clinton. 
In 1778, Clinton was ordered to evacuate Philadelphia and consolidate his troops in New York City, in anticipation of a combined Franco-American attack there. Many Loyalists also left Philadelphia, fearing persecution. Washington's forces shadowed the withdrawing British Army until they clashed at the Battle of Monmouth, one of the war's largest battles.
At the end of the Philadelphia campaign in 1778, the two armies found themselves in roughly the same strategic positions that they had been in before Howe launched the attack on Philadelphia.","The Philadelphia campaign (1777–1778) was a British military campaign during the American Revolutionary War designed to gain control of Philadelphia, the  Revolutionary-era capital where the Second Continental Congress convened and formed the Continental Army and appointed George Washington as its commander in 1775, and authored and unanimously adopted the Declaration of Independence the following year, on July 4, 1776, which formalized and escalated the war.
In the Philadelphia campaign, British General William Howe failed to draw the Continental Army under George Washington into a battle in North Jersey. Howe then embarked his army on transports, and landed them at the northern end of the Chesapeake Bay, where they began advancing north toward Philadelphia. Washington prepared defenses against Howe's movements at Brandywine Creek, but was flanked and beaten back in the Battle of Brandywine on September 11, 1777. After further skirmishes and maneuvers, Howe entered and occupied Philadelphia. Washington then unsuccessfully attacked one of Howe's garrisons at Germantown prior to retreating to Valley Forge for the winter, where he and 12,000 faced the harshest winter of the war, including insufficient food and clothing.
Howe's campaign was controversial because, while he succeeded in capturing the revolutionary capital of Philadelphia, he proceeded slowly and did not aid the concurrent campaign of John Burgoyne further north, which ended in disaster for the British in the Battles of Saratoga and brought France into the war. Howe resigned during the occupation of Philadelphia and was replaced by his second-in-command, General Sir Henry Clinton. 
In 1778, Clinton was ordered to evacuate Philadelphia and consolidate his troops in New York City, in anticipation of a combined Franco-American attack there. Many Loyalists also left Philadelphia, fearing persecution. Washington's forces shadowed the withdrawing British Army until they clashed at the Battle of Monmouth, one of the war's largest battles.
At the end of the Philadelphia campaign in 1778, the two armies found themselves in roughly the same strategic positions that they had been in before Howe launched the attack on Philadelphia."
Philipsburg Proclamation,13621381,"The Philipsburg Proclamation is a historical document issued by British Army General Sir Henry Clinton on 30 June 1779, intended to encourage slaves to run away and enlist in the Royal Forces.","The Philipsburg Proclamation is a historical document issued by British Army General Sir Henry Clinton on 30 June 1779, intended to encourage slaves to run away and enlist in the Royal Forces."
Phrygian cap,336573,"The Phrygian cap (  FRIJ-(ee)-ən) or liberty cap is a soft conical cap with the apex bent over, associated in antiquity with several peoples in Eastern Europe, Anatolia and Asia, including the Persians, the Medes and the Scythians, as well as in the Balkans, Dacia, Thrace and in Phrygia, where the name originated. The oldest depiction of the Phrygian cap is from Persepolis in Iran.
Although Phrygian caps did not originally function as liberty caps, they came to signify freedom and the pursuit of liberty first in the American Revolution and then in the French Revolution, particularly as a symbol of jacobinism (in which context it has been also called a jacobin cap). The original cap of liberty was the Roman pileus, the felt cap of emancipated slaves of ancient Rome, which was an attribute of Libertas, the Roman goddess of liberty. In the 16th century, the Roman iconography of liberty was revived in emblem books and numismatic handbooks where the figure of Libertas is usually depicted with a pileus. The most extensive use of headgear as a symbol of freedom in the first two centuries after the revival of the Roman iconography was made in the Netherlands, where the cap of liberty was adopted in the form of a contemporary hat. In the 18th century, the traditional liberty cap was widely used in English prints, and from 1789 also in French prints; by the early 1790s, it was regularly used in the Phrygian form.
It is used in the coat of arms of certain republics or of republican state institutions in the place where otherwise a crown would be used (in the heraldry of monarchies). It thus came to be identified as a symbol of republican government. A number of national personifications, in particular France's Marianne, are commonly depicted wearing the Phrygian cap. Scientists pointed to the cultural and historical relationship of the Phrygian cap with the kurkhars—the national female headdress of the Ingush people.","The Phrygian cap (  FRIJ-(ee)-ən) or liberty cap is a soft conical cap with the apex bent over, associated in antiquity with several peoples in Eastern Europe, Anatolia and Asia, including the Persians, the Medes and the Scythians, as well as in the Balkans, Dacia, Thrace and in Phrygia, where the name originated. The oldest depiction of the Phrygian cap is from Persepolis in Iran.
Although Phrygian caps did not originally function as liberty caps, they came to signify freedom and the pursuit of liberty first in the American Revolution and then in the French Revolution, particularly as a symbol of jacobinism (in which context it has been also called a jacobin cap). The original cap of liberty was the Roman pileus, the felt cap of emancipated slaves of ancient Rome, which was an attribute of Libertas, the Roman goddess of liberty. In the 16th century, the Roman iconography of liberty was revived in emblem books and numismatic handbooks where the figure of Libertas is usually depicted with a pileus. The most extensive use of headgear as a symbol of freedom in the first two centuries after the revival of the Roman iconography was made in the Netherlands, where the cap of liberty was adopted in the form of a contemporary hat. In the 18th century, the traditional liberty cap was widely used in English prints, and from 1789 also in French prints; by the early 1790s, it was regularly used in the Phrygian form.
It is used in the coat of arms of certain republics or of republican state institutions in the place where otherwise a crown would be used (in the heraldry of monarchies). It thus came to be identified as a symbol of republican government. A number of national personifications, in particular France's Marianne, are commonly depicted wearing the Phrygian cap. Scientists pointed to the cultural and historical relationship of the Phrygian cap with the kurkhars—the national female headdress of the Ingush people."
Pine Tree Riot,2462603,"The Pine Tree Riot was an act of resistance to British royal authority undertaken by American colonists in Weare, New Hampshire, on April 14, 1772, placing it among the disputes between Crown and colonists that culminated in the American Revolution.
In 1722, it became illegal to cut down white pine trees larger than 12 inches in diameter in New Hampshire in order to reserve them for use as Royal Navy masts. This law was not strictly enforced until 1766, when Governor John Wentworth began enforcing it. 
On April 13, 1772, Sheriff Benjamin Whiting and Deputy John Quigley discovered a sawmill in Weare, New Hampshire, violating this law. They arrested the leader, Ebenezer Mudgett, and released him on bail. The next day, Mudgett and twenty men attacked the Sheriff and Deputy at the Quimby Inn, beating them nearly to death with large rods and sending them out of town on horseback. This incident is credited with inspiring the Boston Tea Party, which significantly contributed to the start of the American Revolutionary War.","The Pine Tree Riot was an act of resistance to British royal authority undertaken by American colonists in Weare, New Hampshire, on April 14, 1772, placing it among the disputes between Crown and colonists that culminated in the American Revolution.
In 1722, it became illegal to cut down white pine trees larger than 12 inches in diameter in New Hampshire in order to reserve them for use as Royal Navy masts. This law was not strictly enforced until 1766, when Governor John Wentworth began enforcing it. 
On April 13, 1772, Sheriff Benjamin Whiting and Deputy John Quigley discovered a sawmill in Weare, New Hampshire, violating this law. They arrested the leader, Ebenezer Mudgett, and released him on bail. The next day, Mudgett and twenty men attacked the Sheriff and Deputy at the Quimby Inn, beating them nearly to death with large rods and sending them out of town on horseback. This incident is credited with inspiring the Boston Tea Party, which significantly contributed to the start of the American Revolutionary War."
Pompton Mutiny,35098047,"The Pompton Mutiny, also referred to as the Federal Hill Rebellion, was a revolt of Continental Army troops at Pompton Camp in what was then Pompton Township, New Jersey,  present-day Bloomingdale, New Jersey, that occurred on January 20, 1781, beneath the command of Colonel Israel Shreve.","The Pompton Mutiny, also referred to as the Federal Hill Rebellion, was a revolt of Continental Army troops at Pompton Camp in what was then Pompton Township, New Jersey,  present-day Bloomingdale, New Jersey, that occurred on January 20, 1781, beneath the command of Colonel Israel Shreve."
Provincial Congress,14964704,The Provincial Congresses were extra-legal legislative bodies established in ten of the Thirteen Colonies early in the American Revolution. Some were referred to as congresses while others used different terms for a similar type body. These bodies were generally renamed or replaced with other bodies when the provinces declared themselves states.,The Provincial Congresses were extra-legal legislative bodies established in ten of the Thirteen Colonies early in the American Revolution. Some were referred to as congresses while others used different terms for a similar type body. These bodies were generally renamed or replaced with other bodies when the provinces declared themselves states.
Quakers in the American Revolution,50280455,"By the mid-18th century, members of the Religious Society of Friends lived throughout the thirteen British colonies in North America, with large numbers in the Pennsylvania colony in particular. The American Revolution created a difficult situation for many of these Friends, informally known as ""Quakers,"" as their nonviolent religious tenets often conflicted with the emerging political and nationalistic ideals of their homeland. Early in the conflict's history, Quakers participated in the revolutionary movement through nonviolent actions such as embargoes and other economic protests. However, the outbreak of war created an ideological divide among the group, as most Quakers remained true to their pacifist beliefs and refused to support any military actions. Nevertheless, a sizable number of Quakers still participated in the conflict in some form, and dealt with the repercussions of doing so.","By the mid-18th century, members of the Religious Society of Friends lived throughout the thirteen British colonies in North America, with large numbers in the Pennsylvania colony in particular. The American Revolution created a difficult situation for many of these Friends, informally known as ""Quakers,"" as their nonviolent religious tenets often conflicted with the emerging political and nationalistic ideals of their homeland. Early in the conflict's history, Quakers participated in the revolutionary movement through nonviolent actions such as embargoes and other economic protests. However, the outbreak of war created an ideological divide among the group, as most Quakers remained true to their pacifist beliefs and refused to support any military actions. Nevertheless, a sizable number of Quakers still participated in the conflict in some form, and dealt with the repercussions of doing so."
